PolicyID,Period,EarnedExposure,Territory,AgeBand,VehicleClass,Violations,CreditTier,AnnualMileage,GaragingDensity,ViolationsNum,PriorLapses
200000,2023Q3,1.264,T3,25-39,SUV,None,A,8545,1.764,0,0
200001,2024Q1,1.072,T4,40-64,Pickup,None,D,6636,3.494,0,0
200002,2023Q3,1.118,T3,65+,Pickup,None,D,14369,2.762,0,0
200003,2023Q2,0.668,T5,65+,Compact,None,D,4232,4.239,0,0
200004,2023Q4,1.052,T3,<25,Pickup,Major,D,9706,1.148,3,0
200005,2023Q3,1.045,T4,<25,SUV,Minor,D,9035,1.005,1,0
200006,2023Q4,1.238,T2,<25,Pickup,None,D,11108,2.701,0,1
200007,2023Q2,1.203,T3,<25,SUV,None,A,10362,4.237,0,0
200008,2023Q2,1.123,T3,25-39,Pickup,None,C,12471,1.956,0,0
200009,2023Q1,0.659,T1,40-64,Compact,Minor,D,12731,3.958,1,0
200010,2023Q2,1.469,T1,<25,Compact,Minor,C,15296,3.332,1,0
200011,2023Q2,1.109,T5,<25,SUV,Major,A,23174,4.169,3,0
200012,2023Q1,0.664,T3,<25,SUV,None,A,8712,0.686,0,0
200013,2023Q1,1.304,T2,25-39,SUV,None,D,7188,3.551,0,0
200014,2023Q2,0.641,T1,25-39,Pickup,None,D,4090,3.783,0,1
200015,2023Q4,0.771,T3,<25,SUV,None,C,5795,1.11,0,0
200016,2024Q1,1.063,T3,40-64,SUV,None,B,13287,4.785,0,2
200017,2023Q1,0.652,T3,25-39,SUV,None,A,12847,1.983,0,0
200018,2023Q1,0.587,T2,<25,Pickup,Minor,A,9155,0.882,1,0
200019,2024Q1,1.18,T3,65+,Compact,None,D,11583,2.756,0,1
200020,2023Q2,0.542,T3,65+,Pickup,Minor,B,10844,1.566,1,0
200021,2023Q4,0.851,T5,25-39,SUV,None,C,11549,1.554,0,0
200022,2023Q3,0.746,T5,25-39,Pickup,None,A,10845,1.605,0,0
200023,2024Q1,1.436,T1,65+,Midsize,None,B,12034,0.544,0,3
200024,2023Q3,1.079,T5,<25,Compact,None,B,13705,1.21,0,1
200025,2024Q1,0.569,T4,<25,Compact,Minor,A,15719,4.716,1,0
200026,2023Q1,0.91,T5,<25,Compact,Minor,C,10692,1.31,1,0
200027,2023Q1,0.874,T3,25-39,SUV,None,B,9034,1.724,0,0
200028,2023Q2,0.645,T4,40-64,Pickup,None,D,13516,2.171,0,1
200029,2023Q4,1.233,T3,25-39,SUV,None,A,12716,4.582,0,0
200030,2024Q1,0.687,T2,40-64,Compact,None,A,15441,0.452,0,0
200031,2024Q1,1.348,T5,40-64,SUV,None,C,10571,1.413,0,0
200032,2024Q1,1.438,T5,40-64,Compact,None,B,9917,0.729,0,0
200033,2023Q2,0.587,T3,25-39,Compact,None,C,10166,3.36,0,0
200034,2023Q4,1.161,T3,25-39,Pickup,None,C,12653,3.624,0,0
200035,2023Q3,1.126,T4,25-39,Compact,None,B,11188,1.578,0,0
200036,2023Q2,1.012,T5,25-39,Pickup,None,B,5345,3.842,0,0
200037,2024Q1,1.137,T4,25-39,Pickup,None,A,8461,3.164,0,0
200038,2023Q1,1.404,T3,40-64,Compact,Major,B,9175,0.956,3,0
200039,2023Q4,1.256,T5,25-39,Compact,Major,C,13520,1.564,3,0
200040,2023Q3,1.145,T4,40-64,Compact,None,D,7567,1.431,0,0
200041,2023Q1,0.928,T1,<25,SUV,None,D,10043,0.504,0,0
200042,2023Q4,0.742,T3,<25,Midsize,None,D,10358,4.798,0,0
200043,2023Q3,0.704,T5,65+,Pickup,None,B,14939,2.278,0,0
200044,2023Q3,0.717,T3,40-64,SUV,None,D,5997,3.307,0,0
200045,2023Q3,1.364,T4,25-39,Pickup,Minor,B,12600,3.461,1,0
200046,2023Q3,0.62,T2,25-39,SUV,Minor,A,11233,1.051,1,0
200047,2024Q1,0.616,T3,40-64,Compact,Major,D,11454,3.687,3,0
200048,2023Q4,0.521,T3,<25,SUV,Major,A,17922,1.911,3,1
200049,2023Q4,1.226,T3,65+,Compact,None,D,8992,4.279,0,0
200050,2024Q1,0.505,T1,<25,Compact,None,C,7833,4.084,0,1
200051,2024Q1,1.42,T5,40-64,SUV,Major,D,12427,2.347,3,0
200052,2023Q4,1.471,T5,<25,Compact,None,A,11745,4.333,0,0
200053,2023Q3,0.734,T2,40-64,Compact,None,D,6861,4.797,0,0
200054,2023Q1,0.541,T4,25-39,SUV,None,B,10099,2.662,0,1
200055,2024Q1,1.464,T1,25-39,SUV,Minor,D,11665,2.123,1,0
200056,2023Q4,0.709,T5,65+,Compact,None,A,11052,4.993,0,0
200057,2023Q2,1.036,T4,<25,Midsize,Minor,D,4885,1.295,1,1
200058,2023Q4,1.149,T5,65+,Pickup,None,B,10715,3.557,0,0
200059,2023Q3,1.093,T4,40-64,Midsize,None,D,13309,0.596,0,0
200060,2023Q2,1.346,T1,<25,Midsize,None,C,9527,0.743,0,1
200061,2023Q3,0.984,T4,<25,SUV,None,A,9795,1.521,0,0
200062,2024Q1,1.022,T2,25-39,Midsize,Minor,C,10641,1.335,1,0
200063,2023Q1,1.499,T1,65+,Pickup,Major,C,10671,2.542,3,1
200064,2023Q2,1.061,T5,25-39,SUV,None,A,13982,0.389,0,1
200065,2024Q1,0.698,T1,65+,Midsize,Minor,B,13291,4.615,1,0
200066,2023Q3,0.668,T5,<25,Compact,None,C,15918,3.858,0,0
200067,2023Q2,1.368,T4,<25,SUV,None,D,13372,4.631,0,0
200068,2023Q2,0.86,T1,<25,Compact,Minor,D,8816,1.322,1,0
200069,2023Q4,1.447,T2,40-64,Midsize,Minor,B,17640,2.808,1,0
200070,2024Q1,1.306,T5,65+,Compact,None,D,4481,0.319,0,0
200071,2023Q2,1.445,T5,65+,Compact,Minor,A,12191,4.209,1,0
200072,2023Q1,1.062,T1,40-64,Midsize,Minor,C,9957,3.993,1,1
200073,2023Q1,0.542,T2,40-64,Pickup,None,B,9449,1.155,0,0
200074,2023Q4,1.351,T5,<25,Compact,None,D,8391,4.051,0,0
200075,2023Q2,1.08,T4,25-39,SUV,Minor,C,10651,4.126,1,0
200076,2023Q4,1.368,T1,65+,Pickup,Minor,B,11742,0.41,1,0
200077,2023Q4,0.784,T5,40-64,SUV,Minor,C,13258,4.295,1,0
200078,2023Q4,1.357,T5,25-39,Midsize,None,B,10242,0.996,0,1
200079,2023Q2,0.701,T4,40-64,SUV,None,C,13815,2.646,0,0
200080,2023Q2,0.782,T2,65+,Midsize,None,C,15533,2.885,0,0
200081,2023Q3,0.645,T4,40-64,Compact,Major,A,12069,1.793,3,0
200082,2023Q4,0.638,T2,40-64,Pickup,Major,C,14428,3.063,3,0
200083,2023Q4,0.604,T1,40-64,SUV,None,D,9230,1.495,0,0
200084,2023Q4,1.035,T5,65+,SUV,None,A,9650,1.646,0,1
200085,2023Q4,1.176,T3,65+,Compact,Major,A,9531,2.498,3,1
200086,2023Q1,0.712,T3,40-64,Pickup,Minor,B,9706,2.656,1,1
200087,2023Q2,1.415,T5,40-64,SUV,Minor,A,14663,1.782,1,0
200088,2023Q4,0.599,T1,25-39,Pickup,Major,B,12734,2.952,3,0
200089,2023Q2,0.609,T3,<25,SUV,None,C,6178,2.368,0,0
200090,2024Q1,1.384,T2,65+,Compact,None,B,8905,3.186,0,0
200091,2023Q4,1.193,T5,40-64,Midsize,None,B,4970,1.468,0,0
200092,2023Q2,0.683,T5,40-64,SUV,None,B,11951,2.579,0,1
200093,2023Q3,1.485,T5,25-39,Midsize,None,D,12706,4.023,0,0
200094,2023Q4,0.533,T4,25-39,Pickup,None,A,11368,2.362,0,0
200095,2024Q1,0.609,T2,40-64,Midsize,None,B,12851,3.587,0,0
200096,2023Q4,0.782,T1,40-64,SUV,None,A,9225,2.288,0,1
200097,2023Q2,1.235,T1,<25,SUV,None,B,14383,0.614,0,0
200098,2023Q1,1.215,T3,40-64,SUV,Minor,A,6329,4.735,1,0
200099,2023Q1,1.297,T5,65+,Midsize,Minor,A,12689,4.702,1,0
200100,2023Q4,1.045,T5,25-39,Compact,None,A,6211,4.007,0,2
200101,2023Q1,1.1,T3,25-39,SUV,Minor,B,8317,4.93,1,0
200102,2023Q2,0.845,T5,25-39,Pickup,Minor,B,13094,4.396,1,0
200103,2023Q2,0.884,T2,40-64,SUV,None,D,8609,0.488,0,0
200104,2023Q1,0.597,T5,<25,Midsize,Minor,C,11795,4.717,1,2
200105,2023Q4,0.619,T1,<25,SUV,None,D,14938,2.194,0,1
200106,2023Q2,1.197,T3,65+,SUV,Minor,A,16257,0.359,1,0
200107,2023Q4,0.525,T3,25-39,Midsize,None,A,14658,4.603,0,0
200108,2024Q1,0.953,T5,<25,Pickup,Major,D,12900,2.941,3,0
200109,2024Q1,1.162,T2,65+,Compact,Major,B,7800,0.417,3,0
200110,2023Q2,0.982,T4,25-39,Pickup,None,A,14257,3.021,0,1
200111,2024Q1,0.569,T1,40-64,Midsize,None,C,12319,1.616,0,0
200112,2024Q1,1.267,T2,65+,Pickup,Minor,D,8635,0.749,1,0
